,Hindi,roman
74,यह भवन रेवाशंकर जगजीवन झावेरी का था जो गांधीजी के मित्र थे।,yah bhavan revashankar jagjivan jhaveri ka tha jo gandhiji ke mitra the.
75,इमारती काम के लिये इस वृक्ष की लकड़ी प्रथम श्रेणी की मानी गई है।,imarti kam ke liye is vriksha ki lakdi pratham shreni ki mani gai hai.
76,बुद्ध बोले - इसी प्रकार यह स्त्री स्वयं चरित्रहीन कैसे हो सकती है?,bud'dh bole - isi prakar yah stri svayam charitrahin kaise ho sakti hai?
77,"अमेरिकन एक्सप्रेस ने अपना पहला मुख्यालय जे स्ट्रीट और हडसन स्ट्रीट के प्रतिच्छेद बिंदु पर स्थापित किया, जिसे बाद में मैनहट्टन के ट्राईबेका खंड कहा जाने लगा।","American Express ne apna pahal mukhyalay J street aur Hudson street ke pratichhed bindu par sthapit kiya, jise baad men Manhattan ke Tribecca khand kaha jane laga."
78,यदि ऐसा न हुआ तो धुरी के घूमते ही उसमें थरथराहट पैदा होगी और धुरी को तोलन खराब हो जायगा।,Yadi aisa n hua to dhuri ke ghumte hi usmen thartharahat paida hogi aur shuri ko tolan kharab ho jayaga.
79,इनमें से एक बीकानेर मंडल है।,inmen se ek Bikaner mandal hai.
80,सहस्त्र दिन का युग होता है जिसमें देवताओं की उत्पत्ति होती है।,Sahastra din ka yug hota hai jismen devataon ki utpatti hoti hai.
81,इस जगह पर आज का मौसम बहुत सुन्दर है कहना उचित होगा।,is jagah par aaj ka mausam bahut sundar hai kehna uchit hoga.
82,कंपनी का लक्ष्य व्यापार और खेल में व्यक्तियों और टीमों के साथ काम करके अपने ग्राहकों के सर्वश्रेष्ठ प्रदर्शन को उजागर करना है।,company ka lakshya vyapar aur khel me vyaktiyo aur teamo ke sath kaam karke apne grahako ke sarvshresth pradarshan ko ujagar karna hai.
83,यूथ विवाह अपने शुद्ध रूप में किसी भी कबीले में नहीं मिलता।,youth vivaah apne shuddh roop mein kisi bhi kabile mein nahi milta.
84,प्रतापी कोवकलदेव के पुत्र मुग्धतुंग और केयूरवंर्ष ने अभूतपूर्व उन्नति की थी।,prataapi kovakaldev ke putra mugdhatunga aur keyurvanrsa ne abhutapurva unnati ki thi.
85,इनके अलावा इस रूट पर कई पर्यटन स्थल भी हैं।,Inke alawa is root par kai paryatan sthal bhi hain.
87,"सेवासिंह गवर्नमेंट हाई स्कूल, ठीकरीवाल में है।","Sewasingh Government High School, Thikariwal mein hai."
88,यह प्रतिमायें कदली स्तम्भ से निर्मित की जाती हैं।,yah pratimayen kadli stambh se nirmit ki jaati hain.
89,"संक्षेप में कहा जाये तो प्रतिपाद्य, शिल्प और भाषा की दृष्टि से 'वसुदेव' के रूप में हिन्दी उपन्यास के उस विकास के चरम के दर्शन होते हैं जो लगभग सात दशकों पूर्व प्रेमचंद के 'गोदान' के रूप में उपलब्ध हुआ था।","sankshep men kaha jaye to pratipady, shilp aur bhasha kii drishti se 'Vashdev' ke roop men hindi upnayas ke us vikas ke charam ke darshan hote hain jo lagbhag saat dashakon poorv Premchand ke 'Godaan' ke roop men uplabdh hya thaa."
90,"चौथे चरण के अधिपति शुक्र-मंगल जातक में उग्रता के साथ विचारों को प्रकट न करने की हिम्मत देते हैं, वह हमेशा अपने मन मे ही लगातार माया के प्रति सुलगता रहता है।","chauthe charan ke adhipati shukr-mangal jaatak men ugrta ke sath vicharon ko prakat na kanre kii himmat dete hain, vah hamesha apne man men hi lagataar maya ke parti sulagta rahata hai."
91,माइकल कॉस्टेलो फेसबुक पर,Michael Costello facebook par
92,यह बांका जिला में अवस्थित है।,Yah Banka Zilla be avashit hai.
93,दूसरे छोर पर 'वृहद' विकल्प प्रदान करने वाली अर्थनीति को आर्थिक आजादी कहते हैं।,dusre chhor par 'vruhad' vikalp pradan karne vali arthniti ko arthik azadi kahte hain.
94,कहीं-कहीं कुछ कलाकारों ने इसे बचाने की जुगत की और कुछ विधाएं बची रह गई।,kahin-kahin kuch kalakaron ne ise bachane ki jugat ki aur kuch vidhayen bachi rah gayi.
95,भारतीय सेना,Bhartiy Sena
96,उसने रहने की जगह की याचना की।,usne rehne ki jagah ki yachna ki.
97,"कुंभ का स्वामी ग्रह यूरेनस का एक डरपोक, अचानक और कभी-कभी आक्रामक स्वभाव है, लेकिन यह कुंभ को दूरदर्शी गुणवत्ता भी देता है।","kumbh ka swami garh uranus ka ek darpok, achanak aur kabhi-kabhi aakraamak svabhav hai, lekin yah kumbh ko durdarshi gunvatta bhi deta hai."
98,प्राचीन काल में यह केवल उन वनस्पति पदार्थो का संकलन मात्र था जिनको रोगों में लाभ पहुँचानेवाला समझा जाता था।,prachin kaal mein yah keval un vanaspati padarthon ka sanklan matra tha jinko rogon mein labh pahunchanevala samjha jata tha.
99,इस बाद वह एक्शन-ड्रामा फिल्म शूटआउट ऐट लोखंडवाला में दिखाई दी।,is baad veh action-drama film shootout at lokhandavala me dikhai di.
100,इनमें विक्टोरिया झील (सतही क्षेत्रफल के हिसाब से दुनिया की दूसरी सबसे बड़ी मीठे पानी की झील) और तांगान्यीका झील (घनफल व गहराई के अनुसार विश्व की दूसरी सबसे बड़ी झील) शामिल हैं।,Inmen Victoria jheel (satahi kshetrafal ke hissab se duniya ki dusri sabse badi meethe pani ki jheel) aur Tanganyika Jheel (ghanfal va gaharai ke anusar vishwa ki dusri sabse badi jheel) shamil hai
101,इस पदार्थ के सेवन के 8-10 घण्टे तक नींद आना लगभग असम्भव है।,is padaarth ke sewan ke 8-10 ghante tak neend aana lagbhag asambhav hai.
102,क्षेत्र के ग्रामीण डर एवं भय के कारण राक्षस के लिए भोजन प्रदान करते थे एक समय के बाद दानव ने भूख के कारण स्थानीय क्षेत्र के लोगों को भी खाना शुरू कर दिया।,Kshetra ke gramin dar evam bhay ke karan rakshas ke liye bhojan pradan karte the ek samay ke baad danav ne bhukh ke karan sthaniy kshetra ke logon ko bhi khana shuru kar diya.
103,"वे संतान की रक्षा हेतु अथक प्रयास करते हैं, परंतु असफल ही रहते हैं।","we santan ki raksha hetu athak prayaas karte hain, parntu asafal hi rahte hain."
104,महासागरीय धाराएं सागरीय जीवन के लिये भी महत्त्वपूर्ण होती हैं।,mahasaagariy dharayen saagariy jivan ke liye bhi mahattvapurn hoti hain.
105,उनके दिमाग में कहने लायक इतनी बातें आपस में धक्का-मुक्की करके निकलना चाहती थीं कि वे उन्हें प्रकट किये बिना नहीं रह सकते थे। ...,unke dimag me kehne layak itni batein apas me dhakka-mukki karke nikalna chahti thi ki ve unhe prakat kiye bina nahi reh sakte the. ...
106,सबसे नवीनतम कलात्मक कला को अक्सर समकालीन कला या पश्च-आधुनिक कला कहा जाता है।,sabse naveennatam Kalatmak kala ko aksar samkaleen kala ya pashch-aadhunik kala kah jata hai.
107,संयुक्त राज्य अमेरिका में एक दोहरी नागरिकता प्रणाली है जिसमें व्यक्ति अपने निवास राज्य के साथ संयुक्त राज्य का भी नागरिक है।,sanyukta rajya america me ek dohri nagrikta pranali hai jisme vyakti apne nivas rajya ke sath sanyukta rajya ka bhi nagrik hai.
108,"खुन खान राष्ट्रीय उद्यान चियांग माई प्रांत के सामोएंग और माए चेम जिलों में चियांग माई शहर के पश्चिम में लगभग 50 किलोमीटर (164,040 फीट) की दूरी पर स्थित है।","Khun Khan rashtriya udyaan Chiang Mai praant ke Samoeng aur Mae Chaem jilon mein Chiang Mai shahar ke pashchim mein lagbhag 50 kilometer (164,040 feet) ki duri par sthit hai."
109,प्रगत पदार्थ तथा प्रक्रम अनुसन्धान संस्थान (एम्प्री) की स्थापना मई 1981 में क्षेत्रीय अनुसन्धान प्रयोगशाला के रूप में हुई थी और इसने दिल्ली से काम करना प्रारंभ किया था।,pragat padaarth tatha prakram anusandhaan sansthaan (AMPRI) ki sthaapanaa May 1981 mein kshetriy anusandhaan prayogashala ke rup mein hui thi aur isne Delhi se kaam karna praranbh kiya tha.
110,"जबकि क्षमता 0.05% के भीतर उपलब्ध है, सबसे अधिक व्यापक रूप से उपयोग की जाने वाली क्षमता 5% और 10% है।","kabki kshmta 0.05% ke bhitar uplabdh hai, sabse adhik vyapak roop se upyog ki jane wali kshamta 5% aur 10% hai."
111,उसने कहा कि इस पृथ्वी के सर्वश्रेष्ठ दानवीर को वह क्या दान करेगा और उसने उसे विक्रमादित्य के पास जाकर ब्राह्मण रूप में अपना भवन फिर से माँग लेने को कहा।,usne kaha ki is pruthvi ke sarvashreshtha daanvir ko vah kya daan karega aur usne use Vikramaditya k epaas jakar braahman rup men apna bhawan fir se mang lene ko kaha.
112,यह भारत व पाकिस्तान की उस्ताद-जमूरा व्यंग्य शैली से काफ़ी मिलता है।,yah bharat va pakistan ki ustad-jamura vyangya shaili se kafi milta hai.
113,"साथ ही 2005 में, अमेरिकन एक्सप्रेस ने वन प्रस्तुत किया, ""बचत एक्सेलेरेटर योजना"" वाला क्रेडिट कार्ड, जिसमें योग्य खरीद का १ % एफ़डीआईसी-सुरक्षित अत्यधिक फलप्रद बचत खाते में डाला जाता था।","saath hi 2005 mein, american express ne van prastut kiya, ""bachat accelarator yojana"" wala credit card, jismein yogya kharid ka 1 % FDIC-surakshit atyadhik falprada bachat khate mein dala jata tha."
114,लेकिन दोनों के बीच निजी शत्रुता के कारण यह व्यवस्था काम नहीं कर सकी।,lekin donon ke bich niji shatruta ke kaaran yah vyavsthaa kaam nahin kar saki.
115,तब उसने कड़ी तपस्या की और तब भगवान विष्णु ने उसे बताया कि वह पुरी के समुद्र तट पर जाये और उसे एक दारु (लकड़ी) का लठ्ठा मिलेगा।,tab usne kadi tapasyaa ki aur tab bhagwan visnu ne use bataya ki vah puri ke samudra tat par jaye aur use ek daaru (lakadi) ka laththaa milaa.
117,"सफेद पदार्थ वाली कोशिकाओं का कार्य धूसर पदार्थ वाले क्षेत्रों और शारीर के शेष हिस्सों में संकेतों को पहुंचाना है, जहां प्रसंस्करण किया जाता है।","safed padarth vali koshikaon ka kaary dhoosar padarth vale kshetron aur sharir ke shesh hisson men sanketon ko pahunchana hai, jahan prasanskarn kiya jaata hai."
118,यह काओशिउंग शहर के पास स्थित है।,Yah Kaoshiung shahar ke pas sthit hai.
119,विषुव के समय सूर्य विषुवत रेखा पर सीधा चमकता है और दोनों ध्रुव प्रकाश वृत्त पर पड़ते हैं।,vishu ke samay surya vishuvat rkha pae seedha chamakta hai aur donon dhruv prakash vritt par padte hain.
120,गुणाढ्य पैशाची में बड्डकहा (संस्कृत : बृहत्कथा) नामक अनुपलब्ध आख्यायिका ग्रंथ के प्रणेता।,Gunadhay paishachi men Baddkaha (Sanskrut : Bruhtkatha) namak nupalabdh Akhyayika granth ke praneta.
121,प्रयोगशाला में जलीय अमोनिया को नाइट्रिक अम्ल द्वारा उदासीन करके बनाया जा सकता है।,prayogashala me jaliy ammonia ko nitic amal dvara udasin karke banaya ja sakta hai.
122,चीनी सेना द्वारा समय समय पर चंपा की लूट की राशि और चंपा द्वारा दूतों के हाथ भेजी गई भेंट के विवरण से उसकी समृद्धि का कुछ आभास मिलता है।,chini sena dvara samay samay par champa ki loot ki rashi aur champa dvara duton ke hath bheji gai bhent ke vivran se usaki samruddhi ka kuch abhas milta hai.
123,हमेशा उनके साथ जाने वाली उनकी पत्नी ललिता शास्त्री को बहला फुसलाकर इस बात के लिये मनाया गया कि वे शास्त्रीजी के साथ रूस की राजधानी ताशकन्द न जायें और वे भी मान गयीं।,hamesa unake satha jane vali unaki patni lalita sastri ko bahala phusalakara isa bata ke liye manaya gaya ki ve sastriji ke satha rusa ki rajadhani tasakanda na jayem aura ve bhi mana gayim.
124,भाषाओं का द्रविड़ी परिवार इस लिहाज़ से बड़ा दिलचस्प है कि हालाँकि ये भाषाएँ भारत के दक्षिणी प्रदेशों में बोली जाती हैं लेकिन उनका उत्तरी क्षेत्र में बोली जाने वाली भाषाओं से कोई संबंध नहीं है (संस्कृत से ऋणशब्द लेने के अलावा)।,bhashaon ka dravidi parivar is lihajz se bada dilchasp hai ki halanki ye bhashayen bharat ke dakshin pradeshon men boli jati hai lekin unko uttari kshetr men boli jaane vali bhashaon se koi sambandh nahin hai (sanskrit men rinshabd lene ke alava)
125,विक्रम को वरदान देकर वे सपरिवार अन्तध्र्यान हो गए।,vikram ko vardaan dekar ve saprivaar antadhryan ho gaye.
126,मनुष्य में अपने श्रेष्ठ व्यक्तियों का अनुकरण करने का स्वाभाविक गुण है।,manushya mein apne shreshth vyaktiyon ka anukaran karne ka swabhavik gun hai.
127,भंवर,bhanwar
